Id	Standard Label	Hypercube	Type	Comments
998	Convertible bonds free-text comment	1	String	
999	Convertible bonds, interest expense	1	Money	
1000	Convertible bonds, interest paid	1	Money	
1001	Convertible debt	29	Money	
1005	Convertible loans after five years, by instalments	1	Money	
1006	Convertible loans after five years, not by instalments	1	Money	
1021	Cost of the benefit scheme	27	Money	
1066	Creditors and borrowings free-text comment	1	String	
1068	Creditors disposed of with subsidiaries	33	Money	
1070	Creditors due after one year free-text comment	13	String	
1071	Creditors due after one year, other than convertible debt	13	Money	
1073	Creditors due within one year free-text comment	13	String	
1074	Creditors due within one year, other than convertible debt	13	Money	
1076	Creditors, other than convertible debt	13	Money	
1081	Cumulative goodwill written off against reserves - Net	1	Money	
1101	Currency hedging activities gain (loss) recognised in profit and loss	9	Money	
1112	Current asset investments disposed of with subsidiaries	33	Money	
1118	Current assets disposed of with subsidiaries	33	Money	
1119	Current assets free-text comment	13	String	
1126	Current year research and development expenditure	12	Money	
1140	Date of acquisition	31	Date	
1142	Date of disposal	33	Date	
1152	Date at which number of employees measured	1	Date	
1153	Dates or period of possible conversion	1	String	
1154	Debenture loan / loans held by nominees or trustees of the entity [grouping]		Tuple	
1155	Debenture loan / loans issued in the period [grouping]		Tuple	
1156	Debenture loans after five years, by instalments	1	Money	
1157	Debenture loans after five years, not by instalments	1	Money	
1159	Debentures and other loans	29	Money	
1161	Debentures and other loans free-text comment	1	String	
1204	Debtors disposed of with subsidiaries	33	Money	
1215	Decrease (increase) in estimate of recoverable deferred tax asset	1	Money	
1222	Deduction from aggregate dividends for dividends for ESOP trusts	26	Money	
1224	Default or other breaches remedied before financial statements authorised for issue [true/false]	1	Boolean	
1225	Deferred consideration, disposal of subsidiaries	33	Money	
1263	Depreciation and other amounts written off tangible and intangible fixed assets	9	Money	
1269	Depreciation of tangible and intangible fixed assets	9	Money	
1291	Description of the amounts not recognised	1	String	
1307	Description of asset and circumstances in which asset would be recoverable	1	String	
1315	Description of basis of apportionment of tax between extraordinary and exceptional items	1	Money	
1318	Description of business segment	19	String	
1323	Description of change in price index over the period	1	String	
1340	Description of circumstances in which tax would be payable (recoverable)	1	String	
1359	Description of convertible debt	1	String	
1365	Description of debenture loan / loans held by nominees or trustees of the entity	1	String	
1366	Description of debenture loan / loans issued in the period	1	String	
1367	Description of debt covered by refinancing arrangement	1	String	
1368	Description of default or breaches on principal, interest, sinking fund or redemption terms	1	String	
1392	Description of exceptional items and special circumstances	1	String	
1393	Description of exceptional operating cost	11	String	Have HyId 13 via Bro 804 but after subset elim HyId should be 11
1410	Description of gain or loss in net monetary position arising from presentation in hyperinflationary currency	1	String	
1412	Description of geographic segment	20	String	
1415	Description of guarantee	1	String	
1429	Description of individual extraordinary item	1	String	
1431	Description of interest rate on specific bank loan	1	String	
1437	Description of limited recourse debt	1	String	
1445	Description of method of allocation of interest between continuing and discontinued operations	13	String	
1449	Description of method and underlying assumptions of allocation of tax between continuing and discontinued operations	1	String	
1450	Description of method used in accounting for hyperinflationary currency	1	String	
1471	Description of non-interest bearing borrowings	29	String	
1472	Description of obligation to pay	1	String	
1489	Description of other government assistance	9	String	Have HyId 13 via Bro 1270 but after subset elim HyId should be 9
1505	Description of other type of default or breach	1	String	
1507	Description of other unusual debt	1	String	
1510	Description of particular consignment stock	13	String	
1524	Description of probable contingent assets	1	String	
1539	Description of the relationship between the parties	1	String	
1540	Description of restatements to figures for previous periods	1	String	
1543	Description of retained ownership interests, if any	33	String	
1552	Description of security for guarantee, if required	1	String	
1555	Description of shares which debt may convert to	1	String	
1556	Description of significant change in activities during period	1	String	
1559	Description of special circumstances	1	String	
1561	Description of specific bank loan	1	String	
1565	Description of specific convertible bond issue	1	String	
1580	Description of specific loan due after five years	1	String	
1582	Description of specific redeemable preference share issue	1	String	
1584	Description of subordinated debt	1	String	
1587	Description of tax treatment of amounts transferred to or from the revaluation reserve	1	String	
1588	Description of terms of repayment and rate of interest for bank borrowings and debenture loans after five years	1	String	
1589	Description of terms of repayment and rate of interest for bank loans and overdrafts after five years	1	String	
1590	Description of terms of repayment and rate of interest for borrowings due after five years	1	String	
1591	Description of terms of repayment and rate of interest for convertible debt after five years	1	String	
1592	Description of terms of repayment and rate of interest for debenture loans after five years	1	String	
1593	Description of terms of repayment and rate of interest for finance leases and hire purchase contracts after five years	1	String	
1594	Description of terms of repayment and rate of interest for other loans after five years	1	String	
1595	Description of terms of repayment and rate of interest for specific loan due after five years	1	String	
1597	Description of the transaction and general amounts involved	1	String	
1599	Description of transaction which is artificial or lacks substance and which leads to no gain or loss being recognised	1	String	
1602	Description of transitional relief taken to income by non-taxpaying entity that has lost right to reclaim tax credits	1	String	
1607	Description of type and means of measurement of rate against sterling	1	String	
1612	Description of valuations of land or buildings which differ significantly from the book value	1	String	
1623	Details of convertible debt [grouping]		Tuple	
1633	Diluted earnings (loss)	1	Money	
1634	Diluted earnings (loss) per share	39	PerShare	
1706	Discounted provisions	13	Money	
1734	Disposals free-text comment	33	String	
1738	Distribution, average number of employees	1	Decimal	
1743	Distribution, number of employees at date	1	Decimal	
1744	Dividend cover	1	Decimal	
1745	Dividend income	1	Money	
1746	Dividend income from associates	1	Money	
1747	Dividend income from available-for-sale financial assets	1	Money	
1748	Dividend income from financial assets at fair value through profit or loss	1	Money	
1749	Dividend income from joint-ventures	1	Money	
1750	Dividend income from other equity instruments	1	Money	
1751	Dividend income from subsidiaries	1	Money	
1759	Dividends free-text comment	26	String	
1763	Dividends from other current asset investments, listed	13	Money	
1764	Dividends from other current asset investments, unlisted	13	Money	
1765	Dividends from other fixed asset investments, listed	13	Money	
1766	Dividends from other fixed asset investments, unlisted	13	Money	
1767	Dividends from shares in individual associate	35	Money	
1768	Dividends from shares in individual participating interest	37	Money	
1769	Dividends from shares in individual subsidiary	36	Money	
1770	Dividends from UK companies	1	Money	
1771	Dividends from UK companies, impact on tax rate	1	Percent	
1775	Dividends paid and payable to minority interests	13	Money	Have HyId 1 via Bro 1863 but after subset elim HyId should be 13
1779	Dividends previously appropriated	26	Money	Have HyId 1 via Bro 1789 but after subset elim HyId should be 26
1781	Dividends proposed, creditors due within one year	13	Money	
1782	Dividends proposed, cumulative preference shares, creditors due within one year	13	Money	
1783	Dividends proposed, ordinary shares, creditors due within one year	13	Money	
1786	Dividends withdrawn from total reserves	1	Money	
1791	Double taxation relief	1	Money	
1792	Double taxation relief, impact on tax rate	1	Percent	
1793	Double taxation relief on tax on extraordinary profit (loss)	1	Money	
1794	Earliest date at which lender could demand repayment of debt in absence of refinancing	1	Date	
1798	Effect of change in discount rate serving to increase (decrease) discounted provisions	13	Money	
1800	Effect on basic EPS of goodwill amortisation and exceptional items	39	Money	
1801	Effect on diluted EPS of goodwill amortisation and exceptional items	39	Money	
1804	Effective current tax rate	1	Percent	
1805	Effective interest rate on bank borrowings	1	Percent	
1806	Effective interest rate on bank overdrafts	1	Percent	
1807	Effective interest rate on borrowings	1	Percent	
1808	Effective interest rate on convertible bond issues	1	Percent	
1809	Effective tax rate	1	Percent	
1829	Employee contribution rate for latest period as percentage of pensionable earnings	27	Percent	
1834	Employee share option payments, decrease (increase) in total reserves	1	Money	
1837	Employee share scheme costs	9	Money	
1840	Employer contribution rate for latest period as percentage of pensionable earnings	27	Percent	
1922	Exceptional finance charges (gains) per share, diluted	39	PerShare	
1923	Exceptional finance charges (gains) per share, undiluted	39	PerShare	
1924	Exceptional gain (loss) per share for operating items, diluted	39	PerShare	
1925	Exceptional gain (loss) per share for operating items, undiluted	39	PerShare	
1926	Exceptional gain (loss) per share of non-operating items, diluted	39	PerShare	
1927	Exceptional gain (loss) per share of non-operating items, undiluted	39	PerShare	
1937	Excess of replacement costs, finished goods and goods for resale	13	Money	
1938	Excess of replacement costs over balance sheet values	13	Money	
1939	Excess of replacement costs, payments on account	13	Money	
1940	Excess of replacement costs, raw materials and consumables	13	Money	
1941	Excess of replacement costs, work in progress	13	Money	
1942	Exchange gain (loss) on foreign currency borrowings and deposits	1	Money	
1943	Exchange gain (loss) per share on foreign currency borrowings and deposits, diluted	39	PerShare	
1944	Exchange gain (loss) per share on foreign currency borrowings and deposits, undiluted	39	PerShare	
1945	Exchange rate used against sterling	1	Decimal	
1946	Exercise of options, number of shares issuable	39	Share	
1971	Expenses not deductible for tax purposes	1	Money	
1972	Expenses not deductible for tax purposes, impact on tax rate	1	Percent	
1973	Expenses not deductible for tax purposes, other than goodwill amortisation and impairment	1	Money	
1974	Expenses not deductible for tax purposes, other than goodwill amortisation and impairment, impact on tax rate	1	Percent	
1980	Explanation for any difference between the net asset (liability) for all schemes shown in the balance sheet and the total across individual schemes	27	String	
1988	Explanatory statement if it is not possible to ascertain attributable goodwill	33	String	
1990	Extraordinary items free-text comment	1	String	
2039	Fair value of hedges, increase (decrease) in total reserves	1	Money	
2061	Final dividend per share	26	PerShare	
2062	Final other dividend payment	26	Money	
2063	Final participating dividend payment	26	Money	
2064	Final payment	26	Money	Have HyId 1 via Bro 1788 but after subset elim HyId should be 26
2068	Finance costs capitalisation rate	13	Percent	
2069	Finance costs capitalised	13	Money	
2070	Finance costs capitalised in period for tangible fixed assets	13	Money	
2073	Finance costs payable to subsidiaries / group undertakings	13	Money	
2088	Financial assets for which terms renegotiated, carrying value	1	Money	
2106	Financial instruments net gains (losses), before tax	1	Money	
2134	Fixed asset investments disposed of with subsidiaries	33	Money	
2168	Fixed assets	12	Money	
2170	Fixed assets disposed of with subsidiaries	33	Money	
2213	Foreign currency translation gain (loss) recognised in profit and loss	9	Money	
2215	Foreign current tax	12	Money	
2216	Foreign current tax after adjustment for prior periods	12	Money	
2217	Foreign current tax on income for the period	1	Money	
2218	Foreign deferred tax	12	Money	
2219	Foreign exchange gain (loss) on borrowings less deposits	9	Money	
2220	Foreign exchange gain (loss) recognised in profit and loss	9	Money	Have HyId 13 via Bro 644 but after subset elim HyId should be 9
2258	Further information on the contingent liability, including uncertainties over amount, timing and possibility of reimbursement	1	String	
2263	Further relevant information on convertible debt	1	String	
2265	Future finance charges	1	Money	
2267	Gain (loss) from adjustments related to previous disposals	1	Money	
2269	Gain (loss) from changes in assumptions underlying the present value of pension scheme liabilities as percentage of present value of scheme liabilities	27	Percent	
2286	Gain (loss) from exchange adjustments, revaluation reserve	1	Money	
2289	Gain (loss) from exchange adjustments, revaluation reserve, properties	1	Money	
2297	Gain (loss) from settlements and curtailments included in a separate item after operating profit	27	Money	
2303	Gain (loss) on derivatives at fair value, recognised in profit or loss	1	Money	
2304	Gain (loss) on derivatives held for trading, recognised in profit or loss	1	Money	
2305	Gain (loss) on derivatives initially designated at fair value, recognised in profit or loss	1	Money	
2318	Gain (loss) on financial instruments	1	Money	
2322	Gain (loss) on hedge accounting	1	Money	
2337	Gain (loss) on repurchase or early settlement of debt	1	Money	
2338	Gain (loss) on sale of investments	1	Money	
2339	Gain (loss) on sale or termination of individual operation	1	Money	
2342	Gain (loss) on sale of subsidiaries' net assets	1	Money	
2343	Gain (loss) on sales of current asset investments	1	Money	
2344	Gain (loss) on sales of fixed asset investments	1	Money	
2346	Gain (loss) per share from disposal of fixed assets, diluted	39	PerShare	
2347	Gain (loss) per share from disposal of fixed assets, undiluted	39	PerShare	
2348	Gain (loss) per share on sale or termination of operations, diluted	12	PerShare	Multi: TxId 2348 &amp; HyId 12 needed
2348	Gain (loss) per share on sale or termination of operations, diluted	39	PerShare	Multi: TxId 2348 &amp; HyId 39 needed
2349	Gain (loss) per share on sale or termination of operations, undiluted	39	PerShare	
2360	Gains (losses) on financial assets at fair value through profit or loss	1	Money	
2361	Gains (losses) on financial assets at fair value through profit or loss, classified as held for trading	1	Money	
2362	Gains (losses) on financial assets at fair value through profit or loss, designated as upon initial recognition	1	Money	
2363	Gains (losses) on financial liabilities at amortised cost	1	Money	
2364	Gains (losses) on financial liabilities at fair value through profit or loss	1	Money	
2365	Gains (losses) on financial liabilities at fair value through profit or loss, classified as held for trading	1	Money	
2366	Gains (losses) on financial liabilities at fair value through profit or loss, designated as upon initial recognition	1	Money	
2367	Gains (losses) on held-to-maturity investments	1	Money	
2370	Gains (losses) on loans and receivables	1	Money	
2371	Gains (losses) on other non-operating activities	1	Money	
2417	Goodwill amortisation and impairment per share, diluted	39	PerShare	
2418	Goodwill amortisation and impairment per share, undiluted	39	PerShare	
2419	Goodwill amortisation per share, diluted	39	PerShare	
2420	Goodwill amortisation per share, undiluted	39	PerShare	
2422	Goodwill created on acquisition of associates	1	Money	
2423	Goodwill created on acquisition of joint-ventures	1	Money	
2424	Goodwill impairment per share, diluted	39	PerShare	
2425	Goodwill impairment per share, undiluted	39	PerShare	
2426	Goodwill previously eliminated against reserves on sale or termination of operations	1	Money	
2428	Goodwill relating to disposals	1	Money	
2429	Goodwill resurrected (lost) on disposal of subsidiaries	33	Money	Have HyId 1 via Bro 1791 but after subset elim HyId should be 33
2440	Government grant receipts - Net	9	Money	Have HyId 13 via Bro 1271 but after subset elim HyId should be 9
2448	Gross gain (loss) on sale or termination of individual operation	1	Money	
2456	Group taxation relief receivable (payable)	1	Money	
2464	Hedge of net investments in foreign operations free-text comment	1	String	
2531	Hire of property and other lease expenditure	9	Money	
2533	Historical cost depreciation charge less the actual depreciation charge calculated on the revalued amount	1	Money	
2535	Historical cost profit (loss) for the period	1	Money	
2536	Historical cost profit (loss) on ordinary activities before taxation	1	Money	
2557	Impairment loss, available-for-sale equity investments	1	Money	
2558	Impairment loss, available-for-sale investment debt securities	1	Money	
2559	Impairment loss, available-for-sale investments	1	Money	
2560	Impairment loss directly reduced to specific class of financial asset	1	Money	
2561	Impairment loss, financial assets, income statement analysis	1	Money	
2562	Impairment loss, fixed asset investments	10	Money	
2563	Impairment loss, held-to-maturity investments	1	Money	
2564	Impairment loss, loans and receivables, statement of recognised gains and losses	1	Money	
2570	Impairment loss (reversal), available-for-sale equity investments	1	Money	
2571	Impairment loss (reversal), available-for-sale investment debt securities	1	Money	
2572	Impairment loss (reversal), available-for-sale investments	1	Money	
2573	Impairment loss (reversal), financial assets, income statement analysis	1	Money	
2574	Impairment loss (reversal), fixed asset investments	10	Money	
2575	Impairment loss (reversal), held-to-maturity investments	1	Money	
2577	Impairment loss (reversal) intangible fixed assets, administrative expenses	6	Money	
2578	Impairment loss (reversal) intangible fixed assets, cost of sales	6	Money	
2579	Impairment loss (reversal) intangible fixed assets, distribution costs	6	Money	
2580	Impairment loss (reversal), loans and receivables, income statement	1	Money	
2586	Impairment reversal, available-for-sale investments	1	Money	
2587	Impairment reversal, financial assets, income statement analysis	1	Money	
2588	Impairment reversal, fixed asset investments	10	Money	
2589	Impairment reversal, held-to-maturity investments	1	Money	
2591	Impairment reversal, loans and receivables	1	Money	
2592	Impairment reversal on specific type of financial asset	1	Money	
2594	Impairment (reversal) of tangible and intangible fixed assets	9	Money	
2599	Income (charge) from individual extraordinary item	1	Money	
2600	Income (charge) on pension schemes - Net	13	Money	
2604	Income from fixed asset investments, excluding group undertakings	7	Money	
2607	Income from loans to joint-ventures and associates	7	Money	
2608	Income from loans to subsidiaries / group undertakings	7	Money	
2609	Income from other current asset investments	7	Money	
2611	Income from other fixed asset investments	7	Money	
2613	Income from other participating interests	7	Money	
2614	Income from shares in associates	7	Money	
2616	Income from shares in subsidiaries / group undertakings	7	Money	
2619	Income statement adjustments free-text comment	1	String	
2622	Income tax, subtotal of UK income tax and tax attributable to investment income	1	Money	
2625	Increase (decrease) in the amounts charged to minority interests due to disposal of tangible fixed assets	1	Money	
2626	Increase (decrease) in the amounts charged to minority interests due to fundamental restructuring / reorganisation	1	Money	
2627	Increase (decrease) in the amounts charged to minority interests due to non-operating exceptional items	1	Money	
2628	Increase (decrease) in the amounts charged to minority interests due to other non-operating exceptional gains (losses)	1	Money	
2629	Increase (decrease) in the amounts charged to minority interests due to sale or termination of operation	1	Money	
2630	Increase (decrease) in the amounts charged to minority interests due to specific non-operating exceptional item	1	Money	
2644	Increase (decrease) in capital grant during period	1	Money	
2658	Increase (decrease) in current tax arising from adjustments for prior periods	1	Money	
2659	Increase (decrease) in current tax arising from adjustments for prior periods and double-taxation relief	1	Money	
2668	Increase (decrease) in deferred tax arising from adjustments for prior periods	1	Money	
2669	Increase (decrease) in deferred tax from origination and reversal of timing differences	1	Money	
2670	Increase (decrease) in depreciation following profit (loss) on disposal of fixed assets	9	Money	
2671	Increase (decrease) in discount deducted	1	Money	
2693	Increase (decrease) in foreign deferred tax arising from adjustment for prior periods	1	Money	
2694	Increase (decrease) in foreign tax arising from adjustment for prior periods	1	Money	
2695	Increase (decrease) in foreign tax from origination and reversal of timing differences	1	Money	
2710	Increase (decrease) in pension reserve	1	Money	
2721	Increase (decrease) in stocks of finished goods and work in progress	9	Money	
2732	Increase (decrease) in tax on profit on ordinary activities due to disposal of tangible fixed assets	1	Money	
2733	Increase (decrease) in tax on profit on ordinary activities due to fundamental restructuring / reorganisation	1	Money	
2734	Increase (decrease) in tax on profit on ordinary activities due to non-operating exceptional items	1	Money	
2735	Increase (decrease) in tax on profit on ordinary activities due to other non-operating exceptional gains (losses)	1	Money	
2736	Increase (decrease) in tax on profit on ordinary activities due to sale or termination of operation	1	Money	
2737	Increase (decrease) in tax on profit on ordinary activities due to specific non-operating exceptional item	1	Money	
2739	Increase (decrease) in UK corporation tax arising from adjustment for prior periods	1	Money	
2740	Increase (decrease) in UK deferred tax arising from adjustment for prior periods	1	Money	
2741	Increase (decrease) in UK tax from origination and reversal of timing differences	1	Money	
2749	Increase (decrease) on opening liability for foreign tax from changes in tax rates and laws	1	Money	
2750	Increase (decrease) on opening liability for UK tax from changes in tax rates and laws	1	Money	
2751	Increase (decrease) on opening tax liability from changes in tax rates and laws	1	Money	
2755	Increase (decrease) of taxation charge caused by sale or termination of individual operation	1	Money	
2760	Increase in tax payable (receivable) arising from the special circumstances	1	Money	
2761	Increase in tax payable (receivable) arising from the special circumstances related to exceptional items	1	Money	
2762	Increase or decrease in pension fund prepayment leading to a decrease (increase) in tax	1	Money	
2763	Increase or decrease in pension fund prepayment leading to a decrease (increase) in taxation, impact on tax rate	1	Percent	
2772	Individual acquisition free-text comment	31	String	
2773	Individual disposal free-text comment	33	String	
2778	Information on individual extraordinary items [grouping]		Tuple	
2780	Instalment debts due after 5 years	1	Money	
2796	Intangible assets disposed of with subsidiaries	33	Money	
2830	Interest bearing borrowings	29	Money	
2834	Interest from other current asset investments, listed	13	Money	
2835	Interest from other current asset investments, unlisted	13	Money	
2836	Interest from other fixed asset investments, listed	13	Money	
2837	Interest from other fixed asset investments, unlisted	13	Money	
2838	Interest from shares in individual associate	35	Money	
2839	Interest from shares in individual participating interest	37	Money	
2840	Interest from shares in individual subsidiary	36	Money	
2859	Interest on pension schemes liabilities	13	Money	
2865	Interest payable and similar charges free-text comment	13	String	
2898	Interest saved on conversion of debt, basic earnings analysis	1	Money	
2899	Interest saved on conversion of debt, diluted earnings	1	Money	
2900	Interim dividend per share	26	PerShare	
2901	Interim other dividend payment	26	Money	
2902	Interim participating dividend payment	26	Money	
2903	Interim payment	26	Money	Have HyId 1 via Bro 1787 but after subset elim HyId should be 26
2915	Investment income - Net	7	Money	
2998	Key performance statistics free-text comment	1	String	
3030	Legal form of qualifying partnership	1	String	
3031	Legal form of unlimited company	1	String	
3055	Liabilities disposed of with subsidiaries	33	Money	
3056	Liabilities due after one year	12	Money	
3057	Liabilities due within one year	12	Money	
3058	Liability arising from pension schemes that are wholly or partly funded	27	Money	
3059	Liability arising from pension schemes that are wholly unfunded	27	Money	
3064	Limited recourse debt book value	1	Money	
3065	Limited recourse debt [grouping]		Tuple	
3081	Loan notes received, disposal of subsidiaries	33	Money	
