Id	Type	Level	Bro Name	Name 0	N 1	N 2	N 3	N 4	N 5	BD	Tx Id	Data Type	Sign	Acct Types	Post Type	RO	Hy Id	Excl Dims	Incl Dims	DiMeId	Except	Amort	Sum Up	Totalling	Sum To	Related	StartEnd	Context	Zones	Order	Descr	Comment	I Tx Std Label	I Allowable Dims	I Man Dim	I Prop Dim	I Tuples	I Tag	I Tx Type	I Tx Period	I StartEnd Bros	I Tx Sign	I Tx Hys
41	Ele	1	  RegisteredOffice.WebsiteMainPageURL	RegisteredOffice	WebsiteMainPageURL					 	5613	String		Info			40	"33,36,37,38"								 		RegOffice					Website main page URL	"1,39,42"				uk-bus:WebsiteMainPageURL	Uri	Duration			"40,41"
42	Ele	1	  RegisteredOffice.DescrOrOtherInformationOnWebsite	RegisteredOffice	DescrOrOtherInformationOnWebsite					 	5390	String		Info			40	"33,36,37,38"								 		RegOffice					Description or other information on website	"1,39,42"				uk-bus:DescriptionOrOtherInformationOnWebsite	String	Duration			"40,41"
43	Ele	1	  RegisteredOffice.DescrOrOtherInformationOnEntityContact	RegisteredOffice	DescrOrOtherInformationOnEntityContact					 	5388	String		Info			40	"33,36,37,38"								 		RegOffice					Description or other information on entity contact	"1,39,42"				uk-bus:DescriptionOrOtherInformationOnEntityContact	String	Duration			40
44	Set	0	Declarations	Declarations						 		None		Info												 		 						 									
45	Ele	1	  Declarations.DirectorsAcknowledgeTheirResponsibilitiesUnderCoAct	Declarations	DirectorsAcknowledgeTheirResponsibilitiesUnderCoAct					 	5171	String		Info			1	44								 		Period					Directors acknowledge their responsibilities under the Companies Act	"1,3"				uk-direp:DirectorsAcknowledgeTheirResponsibilitiesUnderCompaniesAct	String	Duration			1
46	Ele	1	  Declarations.CoEntitledToExemptionUnderSection477CoAct2006	Declarations	CoEntitledToExemptionUnderSection477CoAct2006					 	914	String		Info			1	44								 		Period					Company entitled to exemption under Section 477 Companies Act 2006	"1,3"				uk-gaap:CompanyEntitledToExemptionUnderSection477CompaniesAct2006	String	Duration			1
47	Ele	1	  Declarations.CoEntitledToExemptionUnderSection480CoAct2006RelatingToDormantCo	Declarations	CoEntitledToExemptionUnderSection480CoAct2006RelatingToDormantCo					 	915	String		Info			1	44								 		Period					Company entitled to exemption under Section 480 Companies Act 2006 relating to dormant companies	"1,3"				uk-gaap:CompanyEntitledToExemptionUnderSection480CompaniesAct2006RelatingToDormantCompanies	String	Duration			1
48	Ele	1	  Declarations.CoHasActedAsAgentDuringPeriod	Declarations	CoHasActedAsAgentDuringPeriod					 	5132	Boolean		Info			1	44								 		Period					Company has acted as an agent during the period	"1,3"				uk-direp:CompanyHasActedAsAnAgentDuringPeriod	Boolean	Duration			1
49	Ele	1	  Declarations.CoExemptFromPreparingCashFlowUnderFRS1	Declarations	CoExemptFromPreparingCashFlowUnderFRS1					 	916	Boolean		Info			1	44								 		Period					Company is exempt from preparing a cash flow statement under FRS 1	"1,3"				uk-gaap:CompanyExemptFromPreparingCashFlowStatementUnderFRS1	Boolean	Duration			1
50	Ele	1	  Declarations.MembersHaveNotRequiredCoToObtainAudit	Declarations	MembersHaveNotRequiredCoToObtainAudit					 	3194	String		Info			1	44								 		Period					Members have not required the company to obtain an audit	"1,3"				uk-gaap:MembersHaveNotRequiredCompanyToObtainAnAudit	String	Duration			1
51	Ele	1	  Declarations.AccountsAreInAccordanceWithSpecialProvisionsCoActRelatingToSmallCo	Declarations	AccountsAreInAccordanceWithSpecialProvisionsCoActRelatingToSmallCo					 	5110	String		Info			1	44								 		Period					Accounts are in accordance with special provisions of Companies Act relating to small companies	"1,3"				uk-direp:AccountsAreInAccordanceWithSpecialProvisionsCompaniesActRelatingToSmallCompanies	String	Duration			1
52	Ele	1	  Declarations.AccountsAreInAccordanceWithSpecialProvisionsInSection4453CoActRelatingToMediumsizedCo	Declarations	AccountsAreInAccordanceWithSpecialProvisionsInSection4453CoActRelatingToMediumsizedCo					 	51	Boolean		Info			1	44								 		Period					Accounts are in accordance with the special provisions in section 445(3) of the Companies Act relating to medium-sized companies	"1,3"				uk-gaap:AccountsAreInAccordanceWithSpecialProvisionsInSection4453CompaniesActRelatingToMedium-sizedCompanies	Boolean	Duration			1
53	Ele	1	  Declarations.AccountsPreparedInAccordanceWithProvisionsSmallCoRegime	Declarations	AccountsPreparedInAccordanceWithProvisionsSmallCoRegime					 	53	Boolean		Info			1	44								 		Period					Accounts have been prepared in accordance with the provisions of the small companies regime	"1,3"				uk-gaap:AccountsHaveBeenPreparedInAccordanceWithProvisionsSmallCompaniesRegime	Boolean	Duration			1
54	Ele	1	  Declarations.AccountsDeliveredInAccordanceWithProvisionsSmallCoRegime	Declarations	AccountsDeliveredInAccordanceWithProvisionsSmallCoRegime					 	52	Boolean		Info			1	44								 		Period					Accounts have been delivered in accordance with the provisions of the small companies regime	"1,3"				uk-gaap:AccountsHaveBeenDeliveredInAccordanceWithProvisionsSmallCompaniesRegime	Boolean	Duration			1
55	Ele	1	  Declarations.AccountsPreparedUnderHistoricalCostConventionInAccordanceWithFRSSE	Declarations	AccountsPreparedUnderHistoricalCostConventionInAccordanceWithFRSSE					 	54	Boolean		Info			1	44								 		Period					Accounts prepared under historical cost convention and in accordance with FRSSE	"1,3"				uk-gaap:AccountsPreparedUnderHistoricalCostConventionInAccordanceWithFRSSE	Boolean	Duration			1
56	Ele	1	  Declarations.ExplanationIfEntityWithSubsidiariesNotRequiredToPrepareGroupAccounts	Declarations	ExplanationIfEntityWithSubsidiariesNotRequiredToPrepareGroupAccounts					 	1982	String		Info			1	44								 		Period					Explanation if an entity with subsidiaries is not required to prepare group accounts	"1,3"				uk-gaap:ExplanationIfAnEntityWithSubsidiariesNotRequiredToPrepareGroupAccounts	String	Duration			1
57	Ele	1	  Declarations.RelyingOnExemptionUnderCoActInNotPublishingItsOwnPL	Declarations	RelyingOnExemptionUnderCoActInNotPublishingItsOwnPL					 	1872	Boolean		Info			1	44								 		Period					Entity is relying on exemption under the Companies Act in not publishing its own profit and loss account	"1,3"				uk-gaap:EntityRelyingOnExemptionUnderCompaniesActInNotPublishingItsOwnProfitLossAccount	Boolean	Duration			1
58	Set	0	Statements	Statements						 		None		Info												 		 						 									
59	Ele	1	  Statements.NoOtherGainsOrLosses	Statements	NoOtherGainsOrLosses					 	4523	Boolean		Info			1	44								 		Period			There were no recognised gains or losses other than the profit for the financial year		Statement that there were no gains and losses in the period other than those in the profit and loss account	"1,3"				uk-gaap:StatementThatThereWereNoGainsLossesInPeriodOtherThanThoseInProfitLossAccount	Boolean	Duration			1
60	Ele	1	  Statements.TotalRecognisedGainsLossesFreetextComment	Statements	TotalRecognisedGainsLossesFreetextComment					 	4525	String		Info			1	44								 		Period					Statement of total recognised gains and losses free-text comment	"1,3"				uk-gaap:StatementTotalRecognisedGainsLossesFree-textComment	String	Duration			1
61	Ele	1	  Statements.ThatThereWasNoMaterialDifferenceBetweenResultsInPLsThoseOnHistoricalCostBasis	Statements	ThatThereWasNoMaterialDifferenceBetweenResultsInPLsThoseOnHistoricalCostBasis					 	4522	String		Info			1	44								 		Period					Statement that there was no material difference between results in profit and loss accounts and those on a historical cost basis	"1,3"				uk-gaap:StatementThatThereWasNoMaterialDifferenceBetweenResultsInProfitLossAccountsThoseOnHistoricalCostBasis	String	Duration			1
62	Ele	1	  Statements.TimingReasonForTransferBetweenFinancialLiabilitiesEquity	Statements	TimingReasonForTransferBetweenFinancialLiabilitiesEquity					 	4745	String		Info			1	44								 		Period					Timing and reason for a transfer between financial liabilities and equity	"1,3"				uk-gaap:TimingReasonForTransferBetweenFinancialLiabilitiesEquity	String	Duration			1
63	Ele	1	  Statements.EarningsPerShareFreetextComment	Statements	EarningsPerShareFreetextComment					 	1796	String		Info			1	44								 		Period					Earnings per share free-text comment	"1,3"				uk-gaap:EarningsPerShareFree-textComment	String	Duration			1
64	Ele	1	  Statements.IncomeFreetextComment	Statements	IncomeFreetextComment					 	2620	String		Info			1	44								 		Period					Income statement free-text comment	"1,3"				uk-gaap:IncomeStatementFree-textComment	String	Duration			1
65	Ele	1	  Statements.DetailedProfitLossFreetextComment	Statements	DetailedProfitLossFreetextComment					 	1618	String		Info			13	"43,44"								 		Period					Detailed profit and loss statement free-text comment	"1,3,4"				uk-gaap:DetailedProfitLossStatementFree-textComment	String	Duration			13
66	Ele	1	  Statements.DescrBodyAuthorisingAccountsForIssue	Statements	DescrBodyAuthorisingAccountsForIssue					 	1317	String		Info			1	44								 		Period					Description of body authorising accounts for issue	"1,3"				uk-gaap:DescriptionBodyAuthorisingAccountsForIssue	String	Duration			1
67	Ele	1	  Statements.ThatPowerExistsToAmendAccountsAfterIssue	Statements	ThatPowerExistsToAmendAccountsAfterIssue					 	4521	String		Info			1	44								 		Period					Statement that power exists to amend accounts after issue	"1,3"				uk-gaap:StatementThatPowerExistsToAmendAccountsAfterIssue	String	Duration			1
68	Ele	1	  Statements.DescrChangeInFairValueAvailabeForSaleReserve	Statements	DescrChangeInFairValueAvailabeForSaleReserve					 	1321	String		Info			1	44								 		Period					Description of change in fair value / available-for-sale reserve	"1,3"			11 851 47 O ChangesValueAvailForSaleReserve	uk-gaap:DescriptionChangeInFairValueAvailabe-for-saleReserve	String	Duration			1
69	Ele	1	  Statements.BSFreetextComment	Statements	BSFreetextComment					 	355	String		Info			1	44								 		Period					Balance sheet free-text comment	"1,3"				uk-gaap:BalanceSheetFree-textComment	String	Duration			1
70	Ele	1	  Statements.CashFlowFreetextComment	Statements	CashFlowFreetextComment					 	568	String		Info			1	44								 		Period					Cash flow statement free-text comment	"1,3"				uk-gaap:CashFlowStatementFree-textComment	String	Duration			1
71	Ele	1	  Statements.NoteHistoricalCostProfitsLossesFreetextComment	Statements	NoteHistoricalCostProfitsLossesFreetextComment					 	3356	String		Info			1	44								 		Period					Note of historical cost profits and losses free-text comment	"1,3"				uk-gaap:NoteHistoricalCostProfitsLossesFree-textComment	String	Duration			1
72	Ele	1	  Statements.ReconciliationMvtsInShareholdersFundsFreetextComment	Statements	ReconciliationMvtsInShareholdersFundsFreetextComment					 	4155	String		Info			1	44								 		Period					Reconciliation of movements in shareholders' funds free-text comment	"1,3"				uk-gaap:ReconciliationMovementsInShareholdersFundsFree-textComment	String	Duration			1
73	Ele	1	  Statements.ThatDisclosureByBizSegOrGeographyWouldBeSeriouslyPrejudicial	Statements	ThatDisclosureByBizSegOrGeographyWouldBeSeriouslyPrejudicial					 	4517	String		Info			1	44								 		Period					Statement that disclosure by business segment or geography would be seriously prejudicial	"1,3"				uk-gaap:StatementThatDisclosureByBusinessSegmentOrGeographyWouldBeSeriouslyPrejudicial	String	Duration			1
74	Ele	1	  Statements.RevenueProfitsFromJVsAssocsFreetextComment	Statements	RevenueProfitsFromJVsAssocsFreetextComment					 	4290	String		Info			1	44								 		Period					Revenue and profits from joint-ventures and associates free-text comment	"1,3"				uk-gaap:RevenueProfitsFromJoint-venturesAssociatesFree-textComment	String	Duration			1
75	Ele	1	  Statements.DescrAnyChangeInDefinitionBizSegsOrRelatedAccountingPolicies	Statements	DescrAnyChangeInDefinitionBizSegsOrRelatedAccountingPolicies					 	1295	String		Info			1	44								 		Period					Description of any change in the definition of business segments or related accounting policies	"1,3"				uk-gaap:DescriptionAnyChangeInDefinitionBusinessSegmentsOrRelatedAccountingPolicies	String	Duration			1
76	Ele	1	  Statements.AnalysisByBizSegFreetextComment	Statements	AnalysisByBizSegFreetextComment					 	282	String		Info			1	44								 		Period					Analysis by business segment free-text comment	"1,3"				uk-gaap:AnalysisByBusinessSegmentFree-textComment	String	Duration			1
77	Ele	1	  Statements.DescrAnyChangeInDefinitionGeoSegsOrRelatedAccountingPolicies	Statements	DescrAnyChangeInDefinitionGeoSegsOrRelatedAccountingPolicies					 	1296	String		Info			1	44								 		Period					Description of any change in the definition of geographic segments or related accounting policies	"1,3"				uk-gaap:DescriptionAnyChangeInDefinitionGeographicSegmentsOrRelatedAccountingPolicies	String	Duration			1
78	Ele	1	  Statements.AnalysisByGeographyFreetextComment	Statements	AnalysisByGeographyFreetextComment					 	283	String		Info			1	44								 		Period					Analysis by geography free-text comment	"1,3"				uk-gaap:AnalysisByGeographyFree-textComment	String	Duration			1
79	Ele	1	  Statements.AnalysisRevenueByFunctionalTypeFreetextComment	Statements	AnalysisRevenueByFunctionalTypeFreetextComment					 	288	String		Info			1	44								 		Period					Analysis of revenue by functional type free-text comment	"1,3"				uk-gaap:AnalysisRevenueByFunctionalTypeFree-textComment	String	Duration			1
80	Ele	1	  Statements.ContinuingDiscontinuedOpsFreetextComment	Statements	ContinuingDiscontinuedOpsFreetextComment					 	973	String		Info			1	44								 		Period					Continuing and discontinued operations free-text comment	"1,3"				uk-gaap:ContinuingDiscontinuedOperationsFree-textComment	String	Duration			"1,13"
81	Ele	1	  Statements.DescrBarterTransaction	Statements	DescrBarterTransaction					 	1314	String		Info			1	44								 		Period					Description of barter transaction	"1,3"			125 4429 421 O SpecificBarterTransaction	uk-gaap:DescriptionBarterTransaction	String	Duration			1
82	Ele	1	  Statements.PaymentIncludedInTurnover	Statements	PaymentIncludedInTurnover					 	3743	Boolean		Info			1	44								 		Period					Payment is included in turnover	"1,3"			125 4429 423 O SpecificBarterTransaction	uk-gaap:PaymentIncludedInTurnover	Boolean	Duration			1
83	Ele	1	  Statements.OpCostsCreditsFreetextComment	Statements	OpCostsCreditsFreetextComment					 	3403	String		Info			1	44								 		Period					Operating costs and credits free-text comment	"1,3"				uk-gaap:OperatingCostsCreditsFree-textComment	String	Duration			1
84	Ele	1	  Statements.EmployeeInformationFreetextComment	Statements	EmployeeInformationFreetextComment					 	1830	String		Info			1	44								 		Period					Employee information free-text comment	"1,3"				uk-gaap:EmployeeInformationFree-textComment	String	Duration			1
85	Ele	1	  Statements.NameDepartmentNumberEmployeesDateAnalysis	Statements	NameDepartmentNumberEmployeesDateAnalysis					 	3226	String		Info			1	44								 	No	Period					"Name of department, number of employees at date analysis"	"1,3"			91 3651 318 O OtherSpecificDepartmentsNumberEmployeesDate	uk-gaap:NameDepartmentNumberEmployeesDateAnalysis	String	Instant	No		1
86	Ele	1	  Statements.NameDepartmentAverageNumberEmployeesAnalysis	Statements	NameDepartmentAverageNumberEmployeesAnalysis					 	3225	String		Info			1	44								 		Period					"Name of department, average number of employees analysis"	"1,3"			90 3650 316 O OtherSpecificDepartmentsAverageNumberEmployees	uk-gaap:NameDepartmentAverageNumberEmployeesAnalysis	String	Duration			1
87	Ele	1	  Statements.NameOrDescrIndividualOp	Statements	NameOrDescrIndividualOp					 	3233	String		Info			1	44								 		Period					Name or description of individual operation	"1,3"			48 2340 189 O GainOnSaleOrTerminationIndividualOp	uk-gaap:NameOrDescriptionIndividualOperation	String	Duration			1
88	Ele	1	  Statements.GainsLossesFromSaleOrTerminationOpsFreetextComment	Statements	GainsLossesFromSaleOrTerminationOpsFreetextComment					 	2358	String		Info			1	44								 		Period					Gains and losses from sale or termination of operations free-text comment	"1,3"				uk-gaap:GainsLossesFromSaleOrTerminationOperationsFree-textComment	String	Duration			1
89	Ele	1	  Statements.GainLossOnFinancialAssetsLiabilitiesRecognisedInProfitOrLossFreetextComment	Statements	GainLossOnFinancialAssetsLiabilitiesRecognisedInProfitOrLossFreetextComment					 	2317	String		Info			1	44								 		Period					"Gain (loss) on financial assets and liabilities, recognised in profit or loss, free-text comment"	"1,3"				uk-gaap:GainLossOnFinancialAssetsLiabilitiesRecognisedInProfitOrLossFree-textComment	String	Duration			1
90	Ele	1	  Statements.DescrSpecificClassFinancialAsset	Statements	DescrSpecificClassFinancialAsset					 	1563	String		Info			1	44								 		Period					Description of specific class of financial asset	"1,3"			"3 162 8 O AllowancesCreditLossesFinAssets, 22 1063 72 O CreditRiskOnFinAssets, 46 2093 177 O FinAssetsValuation, 51 2585 202 O ImpairLossesOnFinAssetsIncomeStatement, 52 2595 205 O ImpairReversalsOnFinAssetsSRGL"	uk-gaap:DescriptionSpecificClassFinancialAsset	String	Duration			1
91	Ele	1	  Statements.DescrReconcilingItemInImpairAccount	Statements	DescrReconcilingItemInImpairAccount					 	1537	String		Info			1	44								 		Period					Description of reconciling item in impairment account	"1,3"			107 4152 359 O ReconciliationChangesInImpairAllowanceAcct	uk-gaap:DescriptionReconcilingItemInImpairmentAccount	String	Duration			1
92	Ele	1	  Statements.DescrSpecificFairValueHedge	Statements	DescrSpecificFairValueHedge					 	1567	String		Info			1	44								 		Period					Description of specific fair value hedge	"1,3"			43 2035 150 O ValueHedge	uk-gaap:DescriptionSpecificFairValueHedge	String	Duration			1
93	Ele	1	  Statements.DescrSpecificFinInstrsDesignatedAsFairValueHedges	Statements	DescrSpecificFinInstrsDesignatedAsFairValueHedges					 	1572	String		Info			1	44								 		Period					Description of specific financial instruments designated as fair value hedges	"1,3"			43 2035 151 O ValueHedge	uk-gaap:DescriptionSpecificFinancialInstrumentsDesignatedAsFairValueHedges	String	Duration			1
94	Ele	1	  Statements.DescrNatureRisksBeingHedgedBySpecificFairValueHedge	Statements	DescrNatureRisksBeingHedgedBySpecificFairValueHedge					 	1466	String		Info			1	44								 		Period					Description of nature of risks being hedged by specific fair value hedge	"1,3"			43 2035 153 O ValueHedge	uk-gaap:DescriptionNatureRisksBeingHedgedBySpecificFairValueHedge	String	Duration			1
95	Ele	1	  Statements.DescrTransactionForWhichHedgeAccountingPreviouslyUsedButWhichNoLongerExpectedToOccur	Statements	DescrTransactionForWhichHedgeAccountingPreviouslyUsedButWhichNoLongerExpectedToOccur					 	1596	String		Info			1	44								 		Period					Description of transaction for which hedge accounting previously used but which is no longer expected to occur	"1,3"			135 4851 450 O TransactionsForWhichCashFlowHedgeAccountingNoLongerExpectedToBeUsed	uk-gaap:DescriptionTransactionForWhichHedgeAccountingPreviouslyUsedButWhichNoLongerExpectedToOccur	String	Duration			1
96	Ele	1	  Statements.DescrSpecificCashFlowHedge	Statements	DescrSpecificCashFlowHedge					 	1562	String		Info			1	44								 		Period					Description of specific cash flow hedge	"1,3"			9 547 33 O CashFlowHedge	uk-gaap:DescriptionSpecificCashFlowHedge	String	Duration			1
97	Ele	1	  Statements.DescrSpecificFinInstrsDesignatedAsCashFlowHedges	Statements	DescrSpecificFinInstrsDesignatedAsCashFlowHedges					 	1571	String		Info			1	44								 		Period					Description of specific financial instruments designated as cash flow hedges	"1,3"			9 547 34 O CashFlowHedge	uk-gaap:DescriptionSpecificFinancialInstrumentsDesignatedAsCashFlowHedges	String	Duration			1
98	Ele	1	  Statements.DescrNatureRisksBeingHedgedBySpecificCashFlowHedge	Statements	DescrNatureRisksBeingHedgedBySpecificCashFlowHedge					 	1465	String		Info			1	44								 		Period					Description of nature of risks being hedged by specific cash flow hedge	"1,3"			9 547 36 O CashFlowHedge	uk-gaap:DescriptionNatureRisksBeingHedgedBySpecificCashFlowHedge	String	Duration			1
99	Ele	1	  Statements.DescrPeriodsWhenCashFlowsRelatedToSpecificHedgeAreExpectedToOccurAffectProfitLoss	Statements	DescrPeriodsWhenCashFlowsRelatedToSpecificHedgeAreExpectedToOccurAffectProfitLoss					 	1514	String		Info			1	44								 		Period					Description of periods when cash flows related to specific hedge are expected to occur and affect profit and loss	"1,3"			9 547 37 O CashFlowHedge	uk-gaap:DescriptionPeriodsWhenCashFlowsRelatedToSpecificHedgeAreExpectedToOccurAffectProfitLoss	String	Duration			1
