Info	01 - Entity Information
FolioCreditRatings	674 - Folio - Credit Ratings
FolioMaturities	675 - Folio - Maturities
FolioDeferredTaxAssetsLiabilities	680 - Folio - Deferred Tax Assets and Liabilities
FolioProvisions	690 - Folio - Provisions
FolioContingentLiabilities	700 - Folio - Contingent Liabilities
FolioPensionSchemes	730 - Folio - Pension Schemes
FolioShare-basedPaymentSchemes	740 - Folio - Share-based Payment Schemes
FolioShareCapitalAndDividends	750 - Folio - Share Capital and Dividends
FolioRelatedParties	760 - Folio - Related Parties
FolioSubsidiaries	770 - Folio - Subsidiaries
FolioAssociates	780 - Folio - Associates
FolioJoint-Ventures	790 - Folio - Joint-Ventures
FolioDetailedProfitAndLoss	850 - Folio - Detailed Profit and Loss
FolioDataNotForUse	899 - Folio - Data Not For Use
FolioEntityOfficers	900 - Folio - Entity Officers
FolioShares	901 - Folio - Shares
FolioEntityContactInfo	905 - Folio - Entity Contact Info
FolioThirdPartyAgents	906 - Folio - Third Party Agents
FolioCountries	910 - Folio - Countries
FolioCurrencies	911 - Folio - Currencies
FolioStockExchanges	912 - Folio - Stock Exchanges
FolioLanguages	913 - Folio - Languages
FolioEmpty	999 - Folio - Empty
